0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:55 +0530] "GET /MyWebApp/assets/images/shop/ HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:55 +0530] "GET /MyWebApp/assets/images/shop/null HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:55 +0530] "GET /MyWebApp/assets/images/shop/ HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:55 +0530] "GET /MyWebApp/assets/images/shop/null HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:08:06 +0530] "GET /MyWebApp/showSingle?id=Char127 HTTP/1.1" 200 44375
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:08:07 +0530] "GET /MyWebApp/assets/images/shop/ HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:08:07 +0530] "GET /MyWebApp/assets/images/shop/null HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:08:07 +0530] "GET /MyWebApp/assets/images/shop/ HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:08:07 +0530] "GET /MyWebApp/assets/images/shop/null HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:08:10 +0530] "POST /MyWebApp/SearchProducts?text=charger HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:08:12 +0530] "POST /MyWebApp/SearchProducts?text=charger HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:08:14 +0530] "POST /MyWebApp/SearchProducts?text=charger HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:09:01 +0530] "POST /MyWebApp/SearchProducts?text=charger HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:09:12 +0530] "POST /MyWebApp/SearchProducts?text=charger HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:09:13 +0530] "POST /MyWebApp/SearchProducts?text=charger HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:09:17 +0530] "POST /MyWebApp/SearchProducts?text=charger HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:09:21 +0530] "POST /MyWebApp/SearchProducts?text=charger HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:09:22 +0530] "POST /MyWebApp/SearchProducts?text=charger HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:09:22 +0530] "POST /MyWebApp/SearchProducts?text=charger HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:09:23 +0530] "POST /MyWebApp/SearchProducts?text=charger HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:09:25 +0530] "POST /MyWebApp/SearchProducts?text=charger HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:09:27 +0530] "POST /MyWebApp/SearchProducts?text=charger HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:09:28 +0530] "POST /MyWebApp/SearchProducts?text=charger HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:09:30 +0530] "POST /MyWebApp/SearchProducts?text=charger HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:09:31 +0530] "POST /MyWebApp/SearchProducts?text=charger HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:09:32 +0530] "POST /MyWebApp/SearchProducts?text=charger HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:12:40 +0530] "POST /MyWebApp/SearchProducts?text=charger HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:12:41 +0530] "POST /MyWebApp/SearchProducts?text=charger HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:12:41 +0530] "POST /MyWebApp/SearchProducts?text=charger HTTP/1.1" 200 -
